start_list,end_list,value_list,start,end,value,multiply_value,indexResult
DB00067,DB00093,0.936103,DB00093,DB00035,0.83905,0.78543722215,0.3356633187139011
DB00035,DB00093,0.83905,DB00093,DB00067,0.936103,0.78543722215,0.3356633187139011
DB00093,DB00067,0.936103,DB00067,DB00035,0.8378,0.7842670934,0.3334089461159492
DB00006,DB00007,0.653876,DB00007,DB00014,0.764426,0.499839815176,0.04352265991427423
DB00014,DB00007,0.764426,DB00007,DB00006,0.653876,0.499839815176,0.04352265991427423
DB00050,DB00007,0.644261,DB00007,DB00014,0.764426,0.492489859186,0.04070387553877442
DB00007,DB00035,0.543545,DB00035,DB00093,0.83905,0.4560614322499999,0.028759777882406627
DB00027,DB00007,0.504525,DB00007,DB00014,0.764426,0.38567202765,0.013480499911523162
DB00080,DB00093,0.375872,DB00093,DB00067,0.936103,0.351854906816,0.00890355663844649
DB00091,DB00093,0.244577,DB00093,DB00067,0.936103,0.228949263431,0.0012765017455365838
